Year,SB
1952,7639938.75
1953,7685128.75
1954,7673373.75
1955,7433173.75
1956,7589417.5
1957,7977073.75
1958,8059547.5
1959,7972567.5
1960,8211970
1961,7601851.25
1962,6621173.75
1963,6229671.25
1964,6071092.5
1965,6151122.5
1966,6255691.25
1967,5757766.25
1968,5474136.25
1969,5335327.5
1970,5243673.75
1971,5382257.5
1972,5423216.25
1973,5038202.5
1974,4847247.5
1975,4803088.75
1976,4398948.75
1977,4475277.5
1978,4773193.75
1979,4777502.5
1980,4449423.75
1981,4255122.5
1982,4104936.25
1983,4114115
1984,4128506.25
1985,4045735
1986,3973887.5
1987,4204145
1988,4313803.75
1989,4335360
1990,4175320
1991,3759495
1992,3479911.25
1993,3268415
1994,3052696.25
1995,2920887.5
1996,2948792.5
1997,2916122.5
1998,2801583.75
1999,2567343.75
2000,2565011.25
2001,2556408.75
2002,2520367.5
2003,2499187.5
2004,2519421.25
2005,2413902.5
2006,2410653.75
2007,2394221.25
2008,2500043.75
2009,2556632.5
2010,2493503.75
2011,2348072.5
2012,2192750
2013,2137018.75
2014,2258245
2015,2430166.25
2016,2573915
2017,2621283.75
2018,2538775
2019,2529603.75
2020,2724595
2021,2875686.25
